طابع زمني,   ما هو معدلك التوجيهي ؟,   ما هو تخصصك الجامعي الحالي؟  (عربي فقط),"   ما مدى اهتمامك بالتكنولوجيا (عندما اخترت تخصصك)  ؟
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بالمجال الصحي والطبي (عندما اخترت تخصصك)
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بمجال الأعمال والإدارة (عندما اخترت تخصصك) ؟
(1= ضعيف جدا ) / (5 = عالي جدا)","  ما مدى اهتمامك بالمجالات الفنية والإبداعية  (عندما اخترت تخصصك) ؟   
(1= ضعيف جدا) / (5 = عالي جدا)","   أي وصف يعبّر أكثر عن أسلوب تفكيرك (عندما اخترت تخصصك)
",كيف بتشوف شخصيتك كانت  (عندما اخترت تخصصك) ؟,  أي نوع دراسة تفضّل؟ ,  ما أسلوب العمل الذي تفضّله؟  ,"   ما مدى رضاك عن تخصصك الجامعي الحالي؟  راضٍ جدًا / راضٍ / محايد /غير راضٍ
(1=راض جدا) / (4 = غير راض) ",هل لو كان عندك نظام ذكي يرشدك قبل الجامعة، هل كان ممكن يغيّر اختيارك للتخصص؟ 
5:41:37 ص 2026/01/04,92.5,هندسة معمارية,2,3,1,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,نعم
5:43:16 ص 2026/01/04,82,طب,5,5,5,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,لا
5:44:30 ص 2026/01/04,90,برمجيات,5,3,2,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,4,نعم
5:45:26 ص 2026/01/04,75.6,فيزياء,3,5,2,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,نعم
5:47:32 ص 2026/01/04,79٫5,Digital marketing ,3,1,4,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
5:50:14 ص 2026/01/04,70,تصميم داخلي,3,1,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
5:56:56 ص 2026/01/04,63.7,تسويق ومبيعات ,3,2,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
6:04:29 ص 2026/01/04,96.7,هندسة ميكانيك,4,3,3,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
6:12:57 ص 2026/01/04,83,أداره الأراضي والمياه,3,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
6:14:21 ص 2026/01/04,80.05,علاج طبيعي,4,4,4,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
6:20:30 ص 2026/01/04,70,فن وتصميم,1,2,3,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
6:27:36 ص 2026/01/04,87.65,هندسة اتصالات والكترونيات ,3,1,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,3,نعم
6:34:34 ص 2026/01/04,47,بيطرة,4,5,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
6:35:45 ص 2026/01/04,66,معلم صف ,1,1,1,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,3,نعم
6:41:21 ص 2026/01/04,98,تمريض ,1,5,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
6:42:28 ص 2026/01/04,79,عربي,3,3,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
6:44:03 ص 2026/01/04,98,هندسه كمبيوتر ,4,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
6:47:42 ص 2026/01/04,٩٩.٧,دكتورة,5,5,5,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
6:51:51 ص 2026/01/04,90%,طب أسنان ,4,5,4,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
6:55:48 ص 2026/01/04,75.5,إدارة اعمال,3,1,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
6:57:43 ص 2026/01/04,94.2%,علاج طبيعي ,4,5,4,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
7:02:31 ص 2026/01/04,60,تصميم جغرافيك ,1,5,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
7:09:27 ص 2026/01/04,16.77,ادواتية بيوطبية,5,3,3,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
7:10:43 ص 2026/01/04,86.90,هندسه برمجيات ,4,2,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
7:19:56 ص 2026/01/04,80,حاسوب ادارة,5,1,4,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,نعم
7:23:15 ص 2026/01/04,83,ادارة اعمال رقمية ,5,1,5,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
7:24:34 ص 2026/01/04,٨٤.١,مصادر التعلم وتكنولوجيا التعليم ,5,1,3,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
7:30:03 ص 2026/01/04,74.5,اللغه الأنجليزية التطبيقية,3,1,1,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
7:30:11 ص 2026/01/04,70,ادارة فنادق,3,3,5,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
7:37:14 ص 2026/01/04,77٫3,علم الاجتماع/ الانحراف والجريمه,3,1,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
7:41:13 ص 2026/01/04,77.7,اللغة الصينية والإنجليزية,5,1,5,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
7:41:45 ص 2026/01/04,78.9,تمويل ومصارف,1,1,5,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
7:47:36 ص 2026/01/04,89.95,ادب انجليزي,4,1,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
7:50:14 ص 2026/01/04,94,بناء متاجر وتطبيقات الكترونية وتسويق,5,2,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
7:52:27 ص 2026/01/04,69,لغات ,1,2,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
7:55:49 ص 2026/01/04,62,هندسة,5,5,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,نعم
8:02:59 ص 2026/01/04,76,تصميم داخلي,5,1,2,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
8:07:19 ص 2026/01/04,71.3,تصميم داخلي ,3,1,1,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
8:16:33 ص 2026/01/04,70.2,علاج طبيعي ,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
8:18:11 ص 2026/01/04,98.6,طب بشري ,2,5,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,1,لا
8:19:28 ص 2026/01/04,73.9,الفيزياء الطبية الحيوية ,4,1,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
8:22:31 ص 2026/01/04,59,تمريض مشترك ,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
8:22:39 ص 2026/01/04,63٫6,محاسبة,5,2,5,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,لا
8:23:37 ص 2026/01/04,90,تمريض,3,5,4,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
8:25:58 ص 2026/01/04,55.35,هندسة العمارة والتصميم الداخلي (دبلوم),2,1,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
8:26:15 ص 2026/01/04,70,تكنولوجيا حيوية ,3,4,2,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
8:32:06 ص 2026/01/04,81.25,تطوير تطبيقات أجهزة ذكيه,4,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
8:35:21 ص 2026/01/04,89.90,تربية خاصة ,2,3,2,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
8:38:15 ص 2026/01/04,70,علم الحاسوب ,5,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
8:46:42 ص 2026/01/04,94.6,رياضيات,1,5,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
8:47:27 ص 2026/01/04,٦٨.٦,احياء واساليب تدريسها,3,3,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,لا
8:48:41 ص 2026/01/04,76,هندسه,3,3,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
8:56:53 ص 2026/01/04,75,كيمياء,5,3,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,نعم
8:57:37 ص 2026/01/04,95.6,تمريض ,2,5,1,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
9:00:27 ص 2026/01/04,ناجح,رياضه,3,5,4,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:07:16 ص 2026/01/04,73.3,المحاسبة,2,1,5,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,3,نعم
9:07:22 ص 2026/01/04,91,هندسة صناعيه ,2,2,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,لا
9:08:01 ص 2026/01/04,95,علم نفس,4,5,3,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:12:00 ص 2026/01/04,77,اقتصاد ,1,1,2,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
9:17:13 ص 2026/01/04,95,علم حاسوب ,4,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
9:21:17 ص 2026/01/04,70,محاسبة,3,3,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,نعم
9:27:48 ص 2026/01/04,90,صيانة سيارت كهرباء وهايبرد,2,2,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
9:29:55 ص 2026/01/04,98.6,طب اسنان,5,5,3,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:34:09 ص 2026/01/04,68,بكالوريوس اداره اراضي و مياه - هندسه زراعيه / ماجستير تغيرات مناخيه ,3,1,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
9:35:04 ص 2026/01/04,70,ادارة مستشفيات وسجلات طبية ,5,5,5,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,2,نعم
9:38:36 ص 2026/01/04,60.4,قياس وتشخيص اضطرابات توحد,2,4,3,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,لا
9:40:39 ص 2026/01/04,75,تغذية وتكنولوجيا غذاء ,4,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
9:42:17 ص 2026/01/04,78,تغذية,1,5,4,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,نعم
9:44:08 ص 2026/01/04,53.5,محاسبة,5,1,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
9:54:29 ص 2026/01/04,70,علم البيانات والذكاء الاصطناعي ,5,1,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
9:57:58 ص 2026/01/04,98.1,تغذية صحية,2,5,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:05:48 ص 2026/01/04,70,امن وسلامة دبلوم ,1,1,4,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,3,نعم
10:12:33 ص 2026/01/04,110,إدارة أعمال ,4,2,5,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:17:30 ص 2026/01/04,75.6,اللغة العربية وآدابها ,2,1,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الجماعي (ضمن فريق),2,نعم
10:23:36 ص 2026/01/04,82,ذكاء اصطناعي وروبوتات ,5,2,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:26:14 ص 2026/01/04,75,علاج طبيعي,3,5,2,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:26:59 ص 2026/01/04,85.15,العلوم الطبية المخبرية,1,5,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
10:41:22 ص 2026/01/04,٨٧.١,صيدلة,1,5,2,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,2,نعم
10:49:08 ص 2026/01/04,89,علم نفس,3,4,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,نعم
10:51:23 ص 2026/01/04,93.1,محاسبة,5,1,5,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
11:20:05 ص 2026/01/04,97,صيدلة,1,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
11:32:24 ص 2026/01/04,٩٤.٣,الذكاء الاصطناعي و علم البيانات ,4,1,5,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
11:44:10 ص 2026/01/04,72,مختبرات طبيه ,3,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
11:44:12 ص 2026/01/04,83.8,تسويق الكتروني ,5,1,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
11:44:59 ص 2026/01/04,86.3,نظم معلومات ادارية,5,4,5,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
11:45:00 ص 2026/01/04,82,إدارة أعمال وما كنت بدي التخصص وما حبيته بس الحمدلله اختيار ربنا دائما افضل واحسن ,2,3,4,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:46:10 ص 2026/01/04,90.67,صيدلة,1,4,2,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
11:50:01 ص 2026/01/04,92,تكنولوجيا حاسوب,4,2,1,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
11:55:46 ص 2026/01/04,94.3,علم حاسوب,5,2,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
11:59:27 ص 2026/01/04,91,محاسبه وقانون تجاري ,4,1,4,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
12:00:05 م 2026/01/04,65,مختبرات,4,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
12:01:33 م 2026/01/04,75.3,نظم المعلومات الادارية ,4,1,5,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:02:44 م 2026/01/04,90,تحاليل طبية,2,4,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
12:07:11 م 2026/01/04,60,لم اسجل بعد ولكن غالبا دبلوم هندسه او تمريض,3,5,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
12:07:37 م 2026/01/04,82.5,اردنية ,1,4,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,لا
12:08:51 م 2026/01/04,٧٣.٥,مختبرات طبية,4,5,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
12:10:02 م 2026/01/04,83,تمريض ,3,4,3,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
12:14:08 م 2026/01/04,90,تمريض,2,5,2,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:17:07 م 2026/01/04,80,تمريض ,1,5,3,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
12:17:09 م 2026/01/04,95.1 الفرع العلمي ,خريجة بكالوريس تمريض ,3,5,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
12:18:22 م 2026/01/04,87.25,علم البيانات والذكاء الاصطناعي ,1,4,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:19:15 م 2026/01/04,76.3,ادارة اعمال ,4,2,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
12:21:50 م 2026/01/04,86%,تمريض,1,5,4,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:25:32 م 2026/01/04,95,قضاء شرعي,5,4,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:31:19 م 2026/01/04,93.4,علم حاسوب ,5,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:31:59 م 2026/01/04,83,أخصائية تغذية,4,5,1,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
12:45:29 م 2026/01/04,56,جرافيك دزاين ,3,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
12:45:42 م 2026/01/04,88.5,معلم صف ,3,5,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,نعم
12:47:02 م 2026/01/04,91.10,اللغة الإنجليزية و آدابها,2,1,4,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,1,لا
12:48:13 م 2026/01/04,73,هندسة برمجيات,5,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
12:52:26 م 2026/01/04,70,علم بيانات وذكاء اصطناعي,5,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
12:53:12 م 2026/01/04,86,هندسة اتصالات,3,1,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:56:02 م 2026/01/04,73,اثار,4,4,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,لا
1:22:34 م 2026/01/04,82,هندسة مدنية,3,2,4,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
1:24:23 م 2026/01/04,92,أمن سيبراني ,4,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
1:24:48 م 2026/01/04,80,تمريض,3,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
1:28:53 م 2026/01/04,90,قانون ,5,2,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
1:29:07 م 2026/01/04,62,مختبرات طبية ,1,5,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الجماعي (ضمن فريق),3,لا
1:30:11 م 2026/01/04,70,ادب انجليزي,5,4,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
1:30:12 م 2026/01/04,85.3,هندسه مدنيه,3,4,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,الاثنين معا,1,نعم
1:31:39 م 2026/01/04,94.9,دكتور صيدلي,1,4,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
1:36:48 م 2026/01/04,12.27 (دولة المغرب),التمريض,3,5,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
1:38:33 م 2026/01/04,99.8,دكتور صيدله  ,2,5,4,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
1:39:28 م 2026/01/04,93.35,انجليزي تطبيقي,4,2,4,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
1:41:39 م 2026/01/04,75,رياضيات,5,2,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
1:43:26 م 2026/01/04,87,مُعلم صف,1,1,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
1:44:25 م 2026/01/04,70,محاسبة ,4,2,4,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
1:48:16 م 2026/01/04,86.8,استخبارات عسكرية ,4,1,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,نعم
1:49:24 م 2026/01/04,70.2,قياس وتشخيص اضطرابات توحد,1,3,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,2,نعم
